"Zaman damgası","What is your gender?","What is your age ?","Please enter your department ? (STAT, METE, ME etc.)","What is your faculty ?","What is your educational level ?","What is your CGPA ? (Please CHOOSE ""pass the question"" if you are a PREPARATION student.)","What is your individual monthly income ? (TL.)","How happy do you feel right now ?","How do you feel about the department you are in ?","How happy are you with your monthly income ?","How happy are you with the faculty members working in your department ?","How do you feel about living in Ankara ?","How do you feel about the online courses during the pandemic process ?","How do you feel about your social environment ?","How do you feel about activities that your university offers you ? [Sport Facilities]","How do you feel about activities that your university offers you ? [Spring Fest]","How do you feel about activities that your university offers you ? [University Clubs]","How do you feel about activities that your university offers you ? [University Cafeteria]","Please mark the most appropriate options: [I mostly think about past.]","Please mark the most appropriate options: [I like dark areas.]","Please mark the most appropriate options: [I mostly spend time with myself.]","Please mark the most appropriate options: [I mostly rely on people.]","Please mark the most appropriate options: [I rarely participate in social activities.]","Please mark the most appropriate options: [I avoid from communicating with strangers.]","Please mark the most appropriate options: [I always feel exhausted.]","Please mark the most appropriate options: [I want to change activities that I do in my leisure time.]","Please mark the most appropriate options: [I am happy with my appearance.]","Please mark the most appropriate options: [I am a pessimistic person. (I always see the bad side of the events.)]"
"2022/01/05 5:00:39 ÖS GMT+2","Male","22 - 25","Che","Faculty of Engineering","Undergraduate","3.00 – 3.49","2000 – 2499","Moderately Happy","Happy","Unhappy","Happy","Verry Happy","Unhappy","Moderately Happy","Happy","Unhappy","Happy","Very Unhappy","Neutral","Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Neutral","Agree","Disagree"
"2022/01/05 5:20:31 ÖS GMT+2","Female","22 - 25","Chem","Faculty of Arts and Sciences","Undergraduate","2.00 – 2.49","1500 – 1999","Unhappy","Unhappy","Moderately Happy","Happy","Happy","Very Unhappy","Moderately Happy","Moderately Happy","Unhappy","Moderately Happy","Very Unhappy","Agree","Agree","Agree","Neutral","Neutral","Disagree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree"
"2022/01/05 7:22:11 ÖS GMT+2","Male","22 - 25","SOC","Faculty of Arts and Sciences","Undergraduate","2.00 – 2.49","2000 – 2499","Very Unhappy","Moderately Happy","Unhappy","Very Unhappy","Moderately Happy","Unhappy","Happy","Unhappy","Unhappy","Very Unhappy","Very Unhappy","Strongly Agree","Strongly Agree","Agree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Strongly Agree"
"2022/01/05 9:28:49 ÖS GMT+2","Female","22 - 25","GEOE","Faculty of Engineering","Undergraduate","2.00 – 2.49","1500 – 1999","Moderately Happy","Moderately Happy","Happy","Happy","Moderately Happy","Unhappy","Happy","Unhappy","Happy","Happy","Unhappy","Disagree","Strongly Disagree","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree"
"2022/01/05 9:32:15 ÖS GMT+2","Female","18 - 21","ID","Faculty of Architecture","Undergraduate","2.50 – 2.99","1500 – 1999","Unhappy","Very Unhappy","Happy","Moderately Happy","Happy","Very Unhappy","Verry Happy","Moderately Happy","Happy","Verry Happy","Moderately Happy","Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Neutral","Disagree","Neutral","Disagree"
"2022/01/05 9:38:51 ÖS GMT+2","Male","22 - 25","EE","Faculty of Engineering","Undergraduate","1.00 – 1.99","2000 – 2499","Unhappy","Moderately Happy","Happy","Unhappy","Verry Happy","Very Unhappy","Happy","Moderately Happy","Verry Happy","Happy","Moderately Happy","Agree","Strongly Agree","Disagree","Agree","Strongly Agree","Neutral","Neutral","Agree","Neutral","Disagree"
"2022/01/05 9:44:48 ÖS GMT+2","Female","25 +","Ceit","Faculty of Education","Undergraduate","3.00 – 3.49","2500 +","Unhappy","Moderately Happy","Unhappy","Happy","Happy","Unhappy","Happy","Verry Happy","Verry Happy","Verry Happy","Verry Happy","Agree","Agree","Neutral","Agree","Disagree","Disagree","Neutral","Disagree","Agree","Neutral"
"2022/01/06 12:56:20 ÖS GMT+2","Male","22 - 25","CENG","Faculty of Engineering","Undergraduate","2.00 – 2.49","2500 +","Moderately Happy","Moderately Happy","Verry Happy","Happy","Happy","Happy","Unhappy","Unhappy","Moderately Happy","Unhappy","Very Unhappy","Agree","Agree","Agree","Disagree","Neutral","Disagree","Neutral","Agree","Agree","Disagree"
"2022/01/06 1:13:02 ÖS GMT+2","Female","18 - 21","PSY","Faculty of Arts and Sciences","Undergraduate","3.50 – 4.00","2000 – 2499","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","","Unhappy","Happy","Moderately Happy","Moderately Happy","Unhappy","Moderately Happy","Agree","Neutral","Agree","Neutral","Disagree","Strongly Disagree","Agree","Agree","Agree","Disagree"
"2022/01/06 1:23:33 ÖS GMT+2","Male","22 - 25","METE","Faculty of Engineering","Undergraduate","2.00 – 2.49","1000 – 1499","Unhappy","Unhappy","Moderately Happy","Unhappy","Happy","Very Unhappy","Happy","Happy","Unhappy","Unhappy","Very Unhappy;Moderately Happy;Happy","Strongly Agree","Disagree","Disagree","Neutral","Disagree","Disagree","Neutral","Neutral","Disagree","Disagree"
"2022/01/06 2:42:32 ÖS GMT+2","Male","22 - 25","EE","Faculty of Engineering","Undergraduate","3.50 – 4.00","2500 +","Very Unhappy","Unhappy","Verry Happy","Unhappy","Happy","Very Unhappy","Very Unhappy","Happy","Happy","Happy","Unhappy","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree"
"2022/01/06 2:42:42 ÖS GMT+2","Female","22 - 25","EE","Faculty of Engineering","Undergraduate","3.50 – 4.00","2500 +","Very Unhappy","Very Unhappy","Moderately Happy","Very Unhappy","Very Unhappy","Very Unhappy","Unhappy","Unhappy","Unhappy","Unhappy","Very Unhappy","Agree","Strongly Disagree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree"
"2022/01/06 2:42:47 ÖS GMT+2","Male","18 - 21","EEE","Faculty of Engineering","Undergraduate","2.50 – 2.99","0.00 – 999","Very Unhappy","Verry Happy","Very Unhappy","Verry Happy","Verry Happy","Moderately Happy","Moderately Happy","Verry Happy","Verry Happy","Verry Happy","Unhappy","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree"
"2022/01/06 2:42:55 ÖS GMT+2","Male","18 - 21","EE","Faculty of Engineering","Undergraduate","2.00 – 2.49","2500 +","Happy","Unhappy","Unhappy","Unhappy","Happy","Happy","Verry Happy","Very Unhappy","Very Unhappy","Happy","Moderately Happy","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Neutral","Disagree","Agree","Disagree"
"2022/01/06 2:42:56 ÖS GMT+2","Male","18 - 21","EE","Faculty of Engineering","Undergraduate","2.50 – 2.99","2500 +","Moderately Happy","Unhappy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Very Unhappy;Moderately Happy","Agree","Agree","Strongly Agree","Agree","Neutral","Disagree","Agree","Strongly Agree","Disagree","Disagree"
"2022/01/06 2:43:29 ÖS GMT+2","Male","25 +","EEE","Faculty of Engineering","Undergraduate","2.00 – 2.49","0.00 – 999","Unhappy","Moderately Happy","Very Unhappy","Happy","Happy","Moderately Happy","Unhappy","Unhappy","Unhappy","Unhappy","Unhappy","Strongly Agree","Neutral","Agree","Strongly Disagree","Strongly Agree","Agree","Neutral","Strongly Agree","Neutral","Disagree"
"2022/01/06 2:43:43 ÖS GMT+2","Male","22 - 25","CE","Faculty of Engineering","Undergraduate","2.50 – 2.99","0.00 – 999","Unhappy","Very Unhappy","Very Unhappy","Moderately Happy","Happy","Very Unhappy","Happy","Happy;Verry Happy","Happy;Verry Happy","Moderately Happy;Happy","Very Unhappy","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Disagree","Disagree","Agree","Neutral","Agree","Agree"
"2022/01/06 2:43:55 ÖS GMT+2","Male","18 - 21","Eee","Faculty of Engineering","Undergraduate","2.50 – 2.99","0.00 – 999","Happy","Happy","Unhappy","Verry Happy","Happy","Very Unhappy","Happy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Strongly Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Disagree"
"2022/01/06 2:44:11 ÖS GMT+2","Male","18 - 21","physics","Faculty of Arts and Sciences","Undergraduate","3.50 – 4.00","1500 – 1999","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Happy","Very Unhappy","Happy","Happy","Very Unhappy","Verry Happy","Very Unhappy","Disagree","Agree","Neutral","Disagree","Neutral","Disagree","","Neutral","Agree","Disagree"
"2022/01/06 2:44:13 ÖS GMT+2","Male","22 - 25","EE","Faculty of Engineering","Undergraduate","2.00 – 2.49","2000 – 2499","Very Unhappy","Very Unhappy","Moderately Happy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree"
"2022/01/06 2:44:16 ÖS GMT+2","Male","22 - 25","EE","Faculty of Engineering","Undergraduate","2.50 – 2.99","2500 +","Moderately Happy","Very Unhappy","Happy","Very Unhappy","Happy","Verry Happy","Verry Happy","Verry Happy","Verry Happy","Verry Happy","Very Unhappy","Disagree","Agree","Neutral","Agree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Agree","Strongly Disagree"
"2022/01/06 2:44:21 ÖS GMT+2","Female","22 - 25","PHYS","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","2500 +","Moderately Happy","Very Unhappy","Unhappy","Very Unhappy","Verry Happy","Unhappy","Verry Happy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Disagree","Agree","Neutral","Neutral","Neutral","Agree","Strongly Agree","Neutral","Strongly Agree","Neutral"
"2022/01/06 2:44:22 ÖS GMT+2","Female","22 - 25","EE","Faculty of Engineering","Undergraduate","3.00 – 3.49","2500 +","Unhappy","Very Unhappy","Happy","Unhappy","Happy","Unhappy","Happy","Very Unhappy","Moderately Happy","Verry Happy","Very Unhappy","Strongly Disagree","Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Agree","Neutral","Disagree"
"2022/01/06 2:44:41 ÖS GMT+2","Male","22 - 25","Ee","Faculty of Engineering","Undergraduate","3.50 – 4.00","2500 +","Moderately Happy","Happy","Verry Happy","Moderately Happy","Happy","Very Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","","","","","","","","","",""
"2022/01/06 2:44:44 ÖS GMT+2","Female","18 - 21","EE","Faculty of Engineering","Undergraduate","3.50 – 4.00","2000 – 2499","Unhappy","Moderately Happy","Moderately Happy","Happy","Happy","Unhappy","Happy","Verry Happy","Unhappy","Happy","Moderately Happy","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Disagree","Neutral","Neutral"
"2022/01/06 2:45:03 ÖS GMT+2","Male","22 - 25","EE","Faculty of Engineering","Undergraduate","2.50 – 2.99","1000 – 1499","Unhappy","Unhappy","Very Unhappy","Unhappy","Unhappy","Moderately Happy","Unhappy","Moderately Happy","Very Unhappy","Moderately Happy","Very Unhappy","Disagree","Disagree","Strongly Agree","Strongly Disagree","Agree","Disagree","Strongly Agree","Disagree","Agree","Disagree"
"2022/01/06 2:45:03 ÖS GMT+2","Male","22 - 25","Phys","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","1500 – 1999","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Moderately Happy","Very Unhappy","Unhappy","Unhappy","Unhappy","Unhappy","Moderately Happy","Strongly Agree","Agree","Neutral","Disagree","Agree","Disagree","","Agree","Disagree","Neutral"
"2022/01/06 2:45:16 ÖS GMT+2","Female","18 - 21","EE","Faculty of Engineering","Undergraduate","3.00 – 3.49","2500 +","Very Unhappy","Very Unhappy","Verry Happy","Unhappy","Happy","Very Unhappy","Happy","Verry Happy","Verry Happy","Verry Happy","Unhappy;Verry Happy","Agree","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Agree","Agree","Disagree"
"2022/01/06 2:45:43 ÖS GMT+2","Female","18 - 21","Phys","Faculty of Arts and Sciences","Undergraduate","3.50 – 4.00","1000 – 1499","Unhappy","Unhappy","Moderately Happy","Moderately Happy","Happy","Very Unhappy","Unhappy","Unhappy","Unhappy","Moderately Happy","Unhappy","Neutral","Neutral","Agree","Neutral","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Neutral"
"2022/01/06 2:45:47 ÖS GMT+2","Male","22 - 25","EEE","Faculty of Engineering","Undergraduate","3.50 – 4.00","0.00 – 999","Unhappy","Unhappy","Very Unhappy","Very Unhappy","Moderately Happy","Very Unhappy","Unhappy","Very Unhappy","Moderately Happy","Very Unhappy","Very Unhappy","Agree","Disagree","Neutral","Disagree","Disagree","Neutral","Strongly Agree","Agree","Disagree","Agree"
"2022/01/06 2:46:05 ÖS GMT+2","Female","18 - 21","Phys","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","0.00 – 999","Unhappy","Very Unhappy","Very Unhappy","Unhappy","Happy","Very Unhappy","Moderately Happy","Moderately Happy","Very Unhappy","Moderately Happy","Unhappy","Disagree","Disagree","Strongly Agree","Disagree","Agree","Agree","Strongly Agree","Neutral","Neutral","Agree"
"2022/01/06 2:47:30 ÖS GMT+2","Male","22 - 25","AEE","Faculty of Engineering","Undergraduate","2.50 – 2.99","2000 – 2499","Very Unhappy","Very Unhappy","Unhappy","Very Unhappy","Happy","Moderately Happy","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Very Unhappy","Agree","Strongly Agree","Agree","Neutral","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Neutral"
"2022/01/06 2:47:36 ÖS GMT+2","Male","18 - 21","ME","Faculty of Engineering","Undergraduate","3.50 – 4.00","0.00 – 999","Very Unhappy","Unhappy","Moderately Happy","Unhappy","Moderately Happy","Unhappy","Very Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Very Unhappy","Agree","Agree","Strongly Agree","Neutral","Agree","Agree","Neutral","Neutral","Disagree","Neutral"
"2022/01/06 2:48:08 ÖS GMT+2","Male","18 - 21","EE","Faculty of Engineering","Undergraduate","2.00 – 2.49","1500 – 1999","Very Unhappy","Very Unhappy","Moderately Happy","Very Unhappy","Unhappy","Unhappy","Very Unhappy","Unhappy","Moderately Happy","Unhappy","Very Unhappy","Agree","Neutral","Strongly Agree","Agree","Neutral","Agree","Agree","Agree","Disagree","Neutral"
"2022/01/06 2:48:45 ÖS GMT+2","Male","22 - 25","ME","Faculty of Engineering","Undergraduate","3.00 – 3.49","0.00 – 999","Very Unhappy","Very Unhappy","Unhappy","Very Unhappy","Very Unhappy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Agree","Disagree","Strongly Agree","Neutral","Agree","Strongly Disagree","Strongly Agree","Neutral","Agree","Strongly Agree"
"2022/01/06 2:48:50 ÖS GMT+2","Female","18 - 21","EEE","Faculty of Engineering","Undergraduate","3.50 – 4.00","0.00 – 999","Very Unhappy","Very Unhappy","Unhappy","Moderately Happy","Moderately Happy","Very Unhappy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Strongly Agree","Disagree","Agree","Disagree","Agree","Agree","Strongly Agree","Agree","Disagree","Agree"
"2022/01/06 2:49:02 ÖS GMT+2","Male","22 - 25","ME","Faculty of Engineering","Undergraduate","3.00 – 3.49","1500 – 1999","Moderately Happy","Very Unhappy","Unhappy","Very Unhappy","Happy","Unhappy","Unhappy","Unhappy","Unhappy","Happy","Very Unhappy","Agree","Neutral","Neutral","Strongly Disagree","Disagree","Neutral","Disagree","Agree","Neutral","Neutral"
"2022/01/06 2:49:18 ÖS GMT+2","Male","22 - 25","EE","Faculty of Engineering","Undergraduate","2.50 – 2.99","2000 – 2499","Very Unhappy","Unhappy","Happy","Moderately Happy","Verry Happy","Very Unhappy","Happy","Happy","Verry Happy","Verry Happy","Very Unhappy","Agree","Disagree","Agree","Neutral","Strongly Agree","Disagree","Strongly Agree","Neutral","Strongly Disagree","Agree"
"2022/01/06 2:49:51 ÖS GMT+2","Male","18 - 21","EE","Faculty of Engineering","Undergraduate","3.00 – 3.49","2500 +","Moderately Happy","Happy","Moderately Happy","Verry Happy","Happy","Unhappy","Happy","Verry Happy","Verry Happy","Moderately Happy","Happy","Neutral","Agree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Agree","Strongly Disagree"
"2022/01/06 2:49:55 ÖS GMT+2","Male","18 - 21","EE","Faculty of Engineering","Undergraduate","3.00 – 3.49","2500 +","Unhappy","Unhappy","Happy","Verry Happy","Happy","Unhappy","Moderately Happy","Moderately Happy","Unhappy","Happy","Very Unhappy;Verry Happy","Strongly Disagree","Disagree","Neutral","Disagree","Agree","Strongly Disagree","Disagree","Disagree","Agree","Disagree"
"2022/01/06 2:50:05 ÖS GMT+2","Male","18 - 21","EE","Faculty of Engineering","Undergraduate","3.00 – 3.49","1500 – 1999","Very Unhappy","Very Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Very Unhappy","Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Happy;Verry Happy","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree"
"2022/01/06 2:50:07 ÖS GMT+2","Male","25 +","Mine","Faculty of Engineering","Graduate","2.00 – 2.49","2000 – 2499","Very Unhappy","Very Unhappy","Moderately Happy","Very Unhappy","Happy","Very Unhappy","Moderately Happy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree"
"2022/01/06 2:51:59 ÖS GMT+2","Male","22 - 25","ME","Faculty of Engineering","Undergraduate","3.00 – 3.49","2500 +","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Happy","Very Unhappy","Moderately Happy","Moderately Happy","Very Unhappy","Unhappy","Very Unhappy","Strongly Agree","Agree","Neutral","Strongly Disagree","Disagree","Strongly Disagree","Strongly Agree","Agree","Agree","Strongly Disagree"
"2022/01/06 2:52:09 ÖS GMT+2","Female","18 - 21","Phys","Faculty of Arts and Sciences","Undergraduate","3.50 – 4.00","1000 – 1499","Very Unhappy","Happy","Unhappy","Happy","Very Unhappy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Very Unhappy","Neutral","Disagree","Neutral","Agree","Agree","Disagree","Strongly Agree","Agree","Agree","Neutral"
"2022/01/06 2:52:46 ÖS GMT+2","Male","22 - 25","ME","Faculty of Engineering","Undergraduate","2.50 – 2.99","1500 – 1999","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Verry Happy","Very Unhappy","Verry Happy","Moderately Happy","Verry Happy","Verry Happy","Very Unhappy","Strongly Agree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Agree"
"2022/01/06 2:52:56 ÖS GMT+2","Male","18 - 21","EE","Faculty of Engineering","Undergraduate","2.50 – 2.99","1500 – 1999","Very Unhappy","Unhappy","Very Unhappy","Happy","Happy","Very Unhappy","Moderately Happy","Happy","Verry Happy","Unhappy","Unhappy","Strongly Agree","Strongly Agree","Neutral","Agree","Disagree","Strongly Disagree","Agree","Strongly Agree","Strongly Disagree","Disagree"
"2022/01/06 2:53:04 ÖS GMT+2","Male","18 - 21","EE","Faculty of Engineering","Undergraduate","3.00 – 3.49","1000 – 1499","Very Unhappy","Moderately Happy","Very Unhappy","Happy","Verry Happy","Very Unhappy","Happy","Moderately Happy","Happy","Very Unhappy","Moderately Happy","Strongly Agree","Disagree","Strongly Disagree","Neutral","Neutral","Neutral","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree"
"2022/01/06 2:53:16 ÖS GMT+2","Male","18 - 21","EEE","Faculty of Engineering","Undergraduate","2.50 – 2.99","2000 – 2499","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Disagree","Neutral","Neutral","Neutral","Disagree","Neutral","Disagree","Disagree","Agree","Neutral"
"2022/01/06 2:53:28 ÖS GMT+2","Male","22 - 25","EE","Faculty of Engineering","Undergraduate","3.00 – 3.49","1000 – 1499","Moderately Happy","Unhappy","Unhappy","Very Unhappy","Moderately Happy","Moderately Happy","Very Unhappy","Verry Happy","Happy","Unhappy","Unhappy","Disagree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Disagree","Disagree"
"2022/01/06 2:55:14 ÖS GMT+2","Male","18 - 21","PHYS","Faculty of Arts and Sciences","Undergraduate","3.50 – 4.00","2500 +","Very Happy","Verry Happy","Moderately Happy","Moderately Happy","Moderately Happy","Very Unhappy","Moderately Happy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree"
"2022/01/06 2:56:01 ÖS GMT+2","Male","18 - 21","EEE","Faculty of Engineering","Undergraduate","3.50 – 4.00","2500 +","Unhappy","Happy","Moderately Happy","Happy","Happy","Very Unhappy","Moderately Happy","Verry Happy","Moderately Happy","Happy","Very Unhappy","Neutral","Agree","Agree","Strongly Disagree","Neutral","Agree","Agree","Agree","Neutral","Disagree"
"2022/01/06 2:59:54 ÖS GMT+2","Male","22 - 25","EE","Faculty of Engineering","Undergraduate","2.50 – 2.99","2000 – 2499","Moderately Happy","Very Unhappy","Happy","Moderately Happy","Moderately Happy","Very Unhappy","Moderately Happy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Agree","Disagree","Disagree","Neutral","Agree","Strongly Disagree","Neutral","Neutral","Agree","Neutral"
"2022/01/06 3:02:17 ÖS GMT+2","Male","22 - 25","ME","Faculty of Engineering","Undergraduate","3.00 – 3.49","1500 – 1999","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Happy","Moderately Happy","Unhappy","Very Unhappy","Moderately Happy","Unhappy;Moderately Happy","Disagree","Neutral","Neutral","Disagree","Agree","Neutral","Agree","Neutral","Disagree","Neutral"
"2022/01/06 3:02:37 ÖS GMT+2","Male","25 +","Math","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","0.00 – 999","Unhappy","Happy","Very Unhappy","Happy","Unhappy","Happy","Unhappy","Unhappy","Unhappy","Moderately Happy","Unhappy","Neutral","Disagree","Disagree","Neutral","Disagree","Neutral","Disagree","Neutral","Agree","Disagree"
"2022/01/06 3:02:57 ÖS GMT+2","Male","18 - 21","Aee","Faculty of Engineering","Undergraduate","3.00 – 3.49","2000 – 2499","Moderately Happy","Happy","Verry Happy","Moderately Happy","Moderately Happy","Happy","Happy","Happy","Happy","Moderately Happy","Moderately Happy","Agree","Neutral","Agree","Agree","Disagree","Disagree","Neutral","Neutral","Neutral","Disagree"
"2022/01/06 3:03:21 ÖS GMT+2","Female","22 - 25","Phys","Faculty of Arts and Sciences","Undergraduate","2.00 – 2.49","2000 – 2499","Very Unhappy","Happy","Unhappy","Moderately Happy","Moderately Happy","Unhappy","Unhappy","Moderately Happy","Happy","Verry Happy","Unhappy","Agree","Agree","Neutral","Strongly Disagree","Neutral","Agree","Strongly Agree","Strongly Agree","Disagree","Neutral"
"2022/01/06 3:03:33 ÖS GMT+2","Female","22 - 25","Physics","Faculty of Arts and Sciences","Undergraduate","2.00 – 2.49","1500 – 1999","Moderately Happy","Very Unhappy","Unhappy","Unhappy","Moderately Happy","Very Unhappy","Happy","Moderately Happy","Moderately Happy","Very Unhappy","Unhappy;Moderately Happy","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"2022/01/06 3:05:56 ÖS GMT+2","Female","22 - 25","IE","Faculty of Engineering","Undergraduate","2.00 – 2.49","1000 – 1499","Moderately Happy","Unhappy","Unhappy","Unhappy","Unhappy","Very Unhappy","Moderately Happy","Moderately Happy","Unhappy","Unhappy","Very Unhappy;Unhappy","Neutral","Disagree","","Neutral","Agree","Disagree","Disagree","Disagree","Neutral","Neutral"
"2022/01/06 3:06:07 ÖS GMT+2","Female","18 - 21","Phys","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","1000 – 1499","Moderately Happy","Happy","Moderately Happy","Moderately Happy","Happy","Very Unhappy","Unhappy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Disagree","Disagree","Agree","Neutral","Disagree","Disagree","Disagree","Neutral","Agree","Disagree"
"2022/01/06 3:06:53 ÖS GMT+2","","22 - 25","EE","Faculty of Engineering","Graduate","3.00 – 3.49","2500 +","Unhappy","Moderately Happy","Unhappy","Very Unhappy","Moderately Happy","Happy","Happy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Neutral","Strongly Disagree","Neutral","Agree","Neutral","Disagree","Neutral","Strongly Agree","Agree","Disagree"
"2022/01/06 3:07:02 ÖS GMT+2","Male","22 - 25","Phys","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","1500 – 1999","Unhappy","Unhappy","Unhappy","Unhappy","Unhappy","Very Unhappy","Very Unhappy","","","","","","","","","","","","","",""
"2022/01/06 3:08:27 ÖS GMT+2","Male","22 - 25","PHYS","Faculty of Arts and Sciences","Undergraduate","3.50 – 4.00","2500 +","Very Unhappy","Very Unhappy","Happy","Very Unhappy","Happy","Very Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Very Unhappy","Very Unhappy","Neutral","Neutral","Neutral","Disagree","Agree","Neutral","Neutral","Neutral","Agree","Neutral"
"2022/01/06 3:11:57 ÖS GMT+2","Male","22 - 25","Me","Faculty of Engineering","Undergraduate","2.50 – 2.99","2500 +","Moderately Happy","Unhappy","Moderately Happy","Very Unhappy","Moderately Happy","Moderately Happy","Unhappy","Happy","Very Unhappy","Unhappy","Unhappy","Agree","Strongly Agree","Neutral","Agree","Disagree","Disagree","Agree","Neutral","Agree","Neutral"
"2022/01/06 3:12:52 ÖS GMT+2","Female","18 - 21","EE","Faculty of Engineering","Undergraduate","3.50 – 4.00","0.00 – 999","Unhappy","Unhappy","Unhappy","Moderately Happy","Happy","Happy","Happy","Moderately Happy","Very Unhappy","Very Unhappy","Unhappy","Neutral","Disagree","Agree","Agree","Disagree","Agree","Strongly Agree","Agree","Agree","Agree"
"2022/01/06 3:16:27 ÖS GMT+2","Male","18 - 21","EEE","Faculty of Engineering","Undergraduate","3.50 – 4.00","2500 +","Moderately Happy","Happy","Unhappy","Moderately Happy","Unhappy","Very Unhappy","Verry Happy","Moderately Happy","Very Unhappy","Very Unhappy","Unhappy","Neutral","Agree","Disagree","Agree","Agree","Strongly Disagree","Agree","Agree","Neutral","Neutral"
"2022/01/06 3:17:45 ÖS GMT+2","Female","18 - 21","EE","Faculty of Engineering","Undergraduate","2.50 – 2.99","2000 – 2499","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Happy","Very Unhappy","Moderately Happy","Happy","Very Unhappy","Unhappy;Happy","Very Unhappy","Disagree","Strongly Disagree","Disagree","Neutral","Agree","Strongly Disagree","Disagree","Neutral","Strongly Agree","Strongly Disagree"
